run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
vanilla,46,1,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,2771,141334,1024,24,3,length,True,2357.243,98.21845833333333,10.181385627192446,141626.93,138.307548828125,7.230263340453684,144106,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28215.2,22556.3,22672.4,22773.1,22700.8,22695.0,23644.2","26401.1,17246.8,17298.7,17311.7,17207.1,17263.7,624748.2",N/A
vanilla,46,1,2,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,1608,141304,1024,11,5,length,True,1111.378,101.03436363636364,9.89762259105363,141592.543,138.2739677734375,7.232019273783366,142912,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27848.9,22316.6,22289.8,22399.0,22247.8,22319.7,23283.1","26073.0,17190.1,17170.6,17193.2,17048.6,17235.4,619818.8",N/A
vanilla,46,1,3,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,1696,140675,1024,12,3,length,True,1206.749,100.56241666666666,9.944072876795422,140960.938,137.657166015625,7.26442385052801,142371,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27845.3,22285.9,22305.6,22383.6,22292.5,22319.4,23284.9","26060.7,17171.7,17192.9,17201.6,17174.9,17199.8,620394.6",N/A
vanilla,46,2,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,2843,140602,1024,24,3,stop,False,2350.333,97.93054166666667,10.211318991819457,140890.649,137.5885244140625,7.268048002248893,143445,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28202.0,22522.5,22571.9,22666.8,22528.4,22565.2,24008.6","26404.0,17153.3,17346.2,17262.5,17217.3,17719.9,625345.5",N/A
vanilla,46,2,2,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,1613,140419,1024,11,5,length,True,1113.212,101.20109090909091,9.881316406937762,140704.664,137.4068984375,7.277654989460762,142033,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27649.9,22099.5,22127.0,22169.3,22147.6,22155.2,23105.9","26066.2,17108.6,17180.8,17100.4,17195.1,17190.8,620383.1",N/A
vanilla,46,2,3,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,1704,140424,1024,12,3,length,True,1203.853,100.32108333333333,9.967994431213777,140710.118,137.412224609375,7.277372903631565,142128,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27977.7,22394.3,22367.8,22452.2,22368.2,22369.7,23386.0","26081.6,17218.6,17176.0,17148.8,17212.1,17140.5,620461.0",N/A
vanilla,46,3,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,2848,140572,1024,24,3,length,True,2356.257,98.177375,10.185646132828463,140858.439,137.5570693359375,7.269709981664641,143421,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28216.5,22564.2,22537.1,22684.0,22525.1,22525.8,24002.6","26402.3,17334.0,17275.5,17294.3,17214.1,17648.0,625333.6",N/A
vanilla,46,3,2,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,1611,140450,1024,11,5,length,True,1110.999,100.9999090909091,9.90099901080019,140737.25,137.438720703125,7.275969936885935,142062,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27837.7,22196.6,22260.5,22307.4,22242.3,22244.0,23250.2","26095.8,17007.6,17029.5,17055.5,17001.3,16999.0,619856.0",N/A
vanilla,46,3,3,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,medium,1702,140013,1024,12,3,length,True,1213.7,101.14166666666667,9.887122023564308,140299.404,137.01113671875,7.298676764157886,141716,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27724.3,22179.3,22202.6,22277.3,22247.8,22203.7,23180.9","26039.6,17095.3,17096.9,17120.9,17223.7,17170.8,619785.4",N/A
vanilla,46,1,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,short,1592,13964,113,12,3,stop,False,1211.303,100.94191666666667,9.906687261568738,14249.988,126.10608849557522,7.929831239156132,15557,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","2577.0,2128.5,2125.2,2124.8,2147.8,2124.7,2256.2","2155.5,1753.4,1752.3,1742.8,1768.0,1754.1,64121.5",N/A
