run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
turboquant,46,1,2,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12285,361508,891,34,9,stop,False,12236.853,359.90744117647057,2.778492149901613,361510.769,405.7359921436588,2.4646568689078254,373794,0.6,103.2,1.6,6020.8
turboquant,46,1,2,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12284,398606,968,34,9,stop,False,12237.149,359.9161470588235,2.7784249419533915,398607.274,411.7843739669421,2.428455432551891,410890,0.6,104.6,2.2,6020.8
turboquant,46,1,2,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12284,404084,984,34,9,stop,False,12236.922,359.9094705882353,2.778476482893329,404084.834,410.65531910569104,2.435132222754987,416368,0.6,104.7,2.2,6020.8
turboquant,46,1,2,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12286,411446,1024,34,9,length,True,12236.964,359.91070588235294,2.7784669465400076,411448.519,401.8051943359375,2.488768224245328,423733,0.6,106.6,2.2,6020.8
turboquant,46,1,3,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12267,319211,810,34,9,stop,False,12184.354,358.36335294117646,2.7904639014920285,319212.107,394.08902098765435,2.5374977397082246,331478,0.7,131.7,1.4,6020.8
turboquant,46,1,3,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12269,328884,830,34,9,stop,False,12184.22,358.35941176470584,2.790494590544163,328887.321,396.2497843373494,2.523660679518868,341153,0.7,141.1,1.4,6020.8
turboquant,46,1,3,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12270,337020,856,34,9,stop,False,12184.568,358.3696470588235,2.7904148920175094,337022.95,393.7183995327103,2.5398863786575956,349290,0.7,150.5,1.6,6020.8
turboquant,46,1,3,4,1,granite-4.1-8b-q4_k_m,turboquant,long,12267,351166,937,34,9,stop,False,12184.746,358.37488235294114,2.7903741284389514,351167.848,374.77891995731056,2.6682397188025027,363434,0.7,161.4,1.6,6020.8
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,78936,584519,706,160,9,stop,False,33130.083,207.06301875,4.829447605066369,584520.937,827.9333385269123,1.2078267095503543,663456,0.6,201.0,3.9,6322.3
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,92929,630196,765,169,0,stop,False,47114.101,278.7816627218935,3.587036501025457,630197.729,823.7878810457516,1.2139047235443148,723126,0.6,201.1,4.0,6322.3
